ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Antalya,Antalya Open,10/01/2021,ATP250,Indoor,Hard,2nd Round,3,Bublik A.,Lamasine T.,49,271,1090,204,6,2,6,4,,,,,,,2,0,Completed,1.18,4.5,1.22,4.81,1.24,4.81,1.21,4.35
1,Antalya,Antalya Open,10/01/2021,ATP250,Indoor,Hard,2nd Round,3,Struff J.L.,Grenier H.,37,250,1450,220,,,,,,,,,,,,,Walkover,1.18,4.5,1.21,5.02,1.22,5.02,1.2,4.54
1,Antalya,Antalya Open,10/01/2021,ATP250,Indoor,Hard,2nd Round,3,Berrettini M.,Kuzmanov D.,10,298,3085,166,6,2,6,3,,,,,,,2,0,Completed,1.07,9,1.09,9.04,1.09,11,1.07,8.72
1,Antalya,Antalya Open,11/01/2021,ATP250,Indoor,Hard,Quarterfinals,3,Goffin D.,Travaglia S.,16,75,2555,869,6,3,6,2,,,,,,,2,0,Completed,1.33,3.4,1.36,3.43,1.38,3.47,1.34,3.25
1,Antalya,Antalya Open,11/01/2021,ATP250,Indoor,Hard,Quarterfinals,3,Chardy J.,Struff J.L.,72,37,880,1450,4,6,6,2,7,6,,,,,2,1,Completed,2.62,1.5,2.86,1.48,2.86,1.53,2.65,1.48
1,Antalya,Antalya Open,11/01/2021,ATP250,Indoor,Hard,Quarterfinals,3,Bublik A.,Berrettini M.,49,10,1090,3085,7,6,6,4,,,,,,,2,0,Completed,4,1.25,4.05,1.29,4.05,1.37,3.49,1.3
1,Antalya,Antalya Open,11/01/2021,ATP250,Indoor,Hard,Quarterfinals,3,De Minaur A.,Basilashvili N.,23,40,1860,1395,6,2,6,4,,,,,,,2,0,Completed,1.11,6.5,1.12,7.56,1.13,7.7,1.11,6.76
1,Antalya,Antalya Open,12/01/2021,ATP250,Indoor,Hard,Semifinals,3,De Minaur A.,Goffin D.,23,16,1860,2555,6,4,3,6,6,2,,,,,2,1,Completed,1.53,2.5,1.6,2.51,1.62,2.55,1.57,2.41
1,Antalya,Antalya Open,12/01/2021,ATP250,Indoor,Hard,Semifinals,3,Bublik A.,Chardy J.,49,72,1090,880,6,4,6,7,6,3,,,,,2,1,Completed,1.4,3,1.5,2.8,1.54,3,1.44,2.8
1,Antalya,Antalya Open,13/01/2021,ATP250,Indoor,Hard,The Final,3,De Minaur A.,Bublik A.,23,49,1860,1090,,2,,,,,,,,,0,,Retired,1.2,4.5,1.22,4.87,1.23,5.3,1.21,4.43
2,Delray Beach,Delray Beach Open,7/01/2021,ATP250,Outdoor,Hard,1st Round,3,Monteiro T.,Bellucci T.,84,281,820,185,6,3,7,5,,,,,,,2,0,Completed,1.36,3,1.36,3.42,1.44,3.5,1.36,3.1
2,Delray Beach,Delray Beach Open,7/01/2021,ATP250,Outdoor,Hard,1st Round,3,Paul T.,Nam J.S.,52,268,1080,205,6,1,6,4,,,,,,,2,0,Completed,1.12,6,1.13,6.81,1.24,6.81,1.13,6
2,Delray Beach,Delray Beach Open,7/01/2021,ATP250,Outdoor,Hard,1st Round,3,Mager G.,Harrison R.,101,481,733,73,3,6,6,1,6,4,,,,,2,1,Completed,2,1.72,2.3,1.68,2.45,1.81,2.18,1.68
2,Delray Beach,Delray Beach Open,7/01/2021,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Kwon S.W.,119,95,566,768,6,4,6,4,,,,,,,2,0,Completed,1.72,2,1.74,2.21,1.8,2.31,1.74,2.09
2,Delray Beach,Delray Beach Open,8/01/2021,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Mcdonald M.,56,194,1065,335,6,3,6,4,,,,,,,2,0,Completed,1.8,1.9,1.94,1.94,1.95,2.15,1.87,1.92
